id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
20470;Administração;9,5;6,5;8,33;1;4;Cursando;0;1;0;10
20471;Matemática;9;4;6,6;1;14;Evadido;1;1;0;8
20473;Matemática;7,5;5;5,7;1;10;Cursando;0;1;0;10
20478;Administração;9;5;6,78;1;8;Cursando;0;0;0;10
20484;Matemática;7,5;0;3;0;18;Cursando;0;0;0;6
20489;Biologia;8,5;5;6,35;1;4;Cursando;0;0;0;6
20492;Administração;7,5;5,4;5,98;1;20;Cursando;0;0;0;10
20507;Educação Física;7;0;2,7;0;28;Cursando;0;1;0;10
20514;Educação Física;8,5;0;2,44;0;20;Evadido;1;1;0;6
20516;Matemática;7,5;2,5;4,69;0;6;Cursando;0;1;0;8
20518;Matemática;7;0,5;4,44;0;10;Cursando;0;0;0;8
20526;Administração;5,5;1,5;3,92;0;28;Cursando;0;0;0;6
20529;Matemática;8,5;5,5;6,75;1;13;Evadido;1;0;0;8
20531;Enfermagem;1;0;0,11;0;64;Cursando;0;0;0;4
20535;Administração;6,5;4;5,5;1;16;Cursando;0;1;0;10
20541;Educação Física;8;0;5,21;1;16;Cursando;0;0;0;8
20551;Educação Física;5;0;2,83;0;62;Cursando;0;0;0;6
20555;Letras;9,5;7;8,25;1;8;Cursando;0;1;0;8
20556;Biologia;7,5;3;5,45;1;8;Cursando;0;0;0;8
20556;Biologia;7,5;3;5,45;1;8;Outros;0;0;0;8
20561;Educação Física;8;6;6,67;1;2;Cursando;0;0;0;10
20572;Administração;5,5;5,5;5,5;1;20;Cursando;0;1;1;10
20583;História;8;4,75;5,83;1;12;Cursando;0;1;0;4
20584;Matemática;0,5;0;0,06;0;64;Cursando;0;1;0;4
20588;Administração;6,5;5;5,5;1;6;Cursando;0;0;0;8
20590;Enfermagem;10;1,5;5,07;1;6;Cursando;0;1;0;8
20591;Enfermagem;10;7;8,5;1;0;Cursando;0;1;1;10
20596;Administração;1;0;0,14;0;72;Evadido;1;1;0;6
20621;Biologia;7,76;0;3,05;0;46;Cursando;0;1;0;6
20624;Administração;7;5;6;1;8;Cursando;0;0;0;10
20641;Educação Física;7;3;5,5;1;16;Cursando;0;1;0;10
20645;Letras;8;5;6,5;1;10;Cursando;0;1;0;6
20647;Administração;6,5;1,5;5,33;1;16;Evadido;1;0;0;6
20655;Enfermagem;8;6;7,13;1;8;Cursando;0;1;0;10
20656;Educação Física;9,5;8;8,3;1;6;Cursando;0;0;0;10
20658;Matemática;2,5;0;0,6;0;50;Evadido;1;1;0;8
22241;Educação Física;7;6;6,4;1;4;Cursando;0;1;0;10
22245;Administração;6,5;2;4,75;0;8;Cursando;0;0;0;6
22246;Enfermagem;9;5;6,61;1;8;Cursando;0;0;0;8
22250;Administração;7;5;5,9;1;8;Cursando;0;1;0;8
22252;Administração;8,5;0;2,13;0;30;Cursando;0;1;0;4
22254;Administração;5,5;0;2,83;0;16;Cursando;0;1;0;6
22257;Letras;8;5;6;1;16;Cursando;0;1;0;8
22259;Administração;7;5,5;6,25;1;8;Cursando;0;1;0;10
22267;Administração;7,5;0,5;4,67;0;8;Cursando;0;0;0;8
22273;Administração;0;0;0;0;52;Cursando;0;1;0;4
22277;Administração;1;0;0,19;0;38;Cursando;0;1;0;2
22290;Matemática;7,5;1,5;5,17;1;16;Cursando;0;0;0;8
22291;Educação Física;6;5;5,5;1;12;Cursando;0;1;0;8
22306;Letras;9,5;1;5,86;1;10;Cursando;0;0;0;6
22309;Educação Física;7;5,5;6,5;1;8;Cursando;0;1;1;10
22311;Administração;5;0;2,75;0;12;Cursando;0;0;0;6
22313;Administração;6;3;5,25;1;28;Cursando;0;1;0;8
22316;Administração;7;1,5;5,5;1;8;Cursando;0;1;0;10
22341;Educação Física;9;0;3,86;0;24;Cursando;0;1;0;8
22604;Administração;5;1;3,38;0;12;Cursando;0;1;1;6
22653;Educação Física;8;1,5;5,25;1;14;Cursando;0;1;0;8
22659;Administração;8;1,5;3,75;0;30;Evadido;1;1;0;8
