id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
28829;Administração;8,55;6,5;7,67;1;16;Aluno Formado;0;0;0;10
28830;Letras;7,6;5,33;6,65;1;24;Cursando;0;0;0;9
28831;Administração;6,9;2,55;5,34;1;20;Cursando;0;1;0;8
28835;Administração;9,05;5,8;7,45;1;4;Aluno Formado;0;0;0;10
28836;Administração;8,43;6,68;7,72;1;2;Aluno Formado;0;1;0;10
28837;Administração;8,5;6,5;7,21;1;8;Aluno Formado;0;0;0;10
28838;Administração;8,13;5,93;6,95;1;8;Aluno Formado;0;1;0;10
28839;Administração;9,6;7,1;8,86;1;4;Aluno Formado;0;1;0;10
28841;Administração;6,25;1,11;4,54;0;16;Cursando;0;0;0;8
28842;Administração;6,8;1,7;4,23;0;12;Outros;0;1;0;8
28842;Educação Física;6,8;1,7;4,23;0;12;Evadido;1;1;0;4
28844;Administração;9,5;5,5;7,21;1;18;Aluno Formado;0;0;0;10
28845;Administração;9;6,33;8,1;1;10;Aluno Formado;0;0;0;10
28846;Administração;5,25;5;5,09;1;6;Cursando;0;1;0;10
28847;Letras;3,13;0;1,15;0;76;Cursando;0;1;1;8
28849;Letras;7,9;5,39;6,45;1;4;Cursando;0;1;0;8
28851;Administração;8,85;5,25;7,03;1;8;Aluno Formado;0;0;0;10
28855;Administração;5,35;1,25;4,13;0;18;Cursando;0;0;0;8
28857;Letras;9,5;5,8;7,78;1;4;Cursando;0;1;0;8
28858;Administração;7,5;5,18;6,19;1;20;Cursando;0;1;0;4
28861;Administração;5;0,64;2,03;0;24;Cursando;0;1;0;8
28864;Administração;6,33;0,8;4,33;0;16;Cursando;0;0;0;8
28866;Administração;8,28;5;6,23;1;6;Aluno Formado;0;0;0;10
28868;Administração;8,68;6,21;7,11;1;18;Aluno Formado;0;0;0;10
28870;Administração;7,05;5,05;6,02;1;6;Aluno Formado;0;0;0;10
28871;Administração;9,25;5;6,84;1;8;Aluno Formado;0;1;0;10
28873;Administração;8;5;6,73;1;4;Aluno Formado;0;1;0;10
28875;Administração;4;0;0,63;0;40;Cursando;0;0;0;8
28876;Administração;9,5;6,3;8,15;1;4;Aluno Formado;0;0;0;10
28881;Administração;7,05;5,2;5,89;1;8;Aluno Formado;0;0;0;10
28885;Educação Física;8,35;5,95;7,17;1;4;Aluno Formado;0;0;0;10
28886;Administração;7,05;3,7;5,7;1;8;Cursando;0;0;0;10
28888;Administração;8,65;5,85;7,88;1;14;Aluno Formado;0;0;1;10
28889;Gastronomia;7,7;3,45;6,23;1;4;Cursando;0;1;0;9
28891;Administração;8,75;5,2;6,31;1;8;Aluno Formado;0;1;0;10
28892;Administração;7,85;5;6,35;1;8;Aluno Formado;0;0;0;10
28893;Administração;9,25;6,2;8,15;1;4;Aluno Formado;0;0;0;10
28894;Administração;8,68;5,93;7,48;1;4;Cursando;0;0;0;8
28895;Administração;5,23;0,13;2,16;0;20;Evadido;1;0;0;6
28896;Administração;7,3;0;3,71;0;14;Cursando;0;0;0;6
28897;Educação Física;8,85;5;6,83;1;10;Cursando;0;1;0;10
28898;Administração;0;0;0;0;48;Cursando;0;1;0;8
28901;Administração;6,6;0,75;2,78;0;28;Cursando;0;1;1;8
28904;Educação Física;7,35;0,4;5,08;1;10;Cursando;0;1;0;2
28906;Administração;9,38;5;7,62;1;10;Aluno Formado;0;0;0;10
28907;Administração;7,2;3,05;5,59;1;16;Cursando;0;0;0;10
28909;Administração;5,65;1,14;3,98;0;20;Cursando;0;0;0;8
28910;Administração;9,38;6,38;8,5;1;10;Aluno Formado;0;1;0;10
28911;Administração;9,55;5,65;7,27;1;12;Aluno Formado;0;0;0;10
28916;Administração;9,25;5,72;7,16;1;12;Aluno Formado;0;1;0;10
28917;Administração;8,75;6,69;7,58;1;8;Aluno Formado;0;0;0;10
28919;Educação Física;8,88;7,08;7,89;1;6;Cursando;0;0;0;8
28920;Administração;8,13;5;6,34;1;16;Aluno Formado;0;1;0;10
28923;Administração;6,13;2,27;4,86;0;17;Cursando;0;0;0;8
28925;Administração;6,18;5;5,46;1;10;Cursando;0;1;0;8
28927;Administração;8,03;5,03;6,46;1;8;Aluno Formado;0;1;0;10
28929;Administração;9,5;5,9;8,13;1;4;Aluno Formado;0;1;0;10
28931;Administração;9,68;6,75;8,25;1;4;Aluno Formado;0;0;0;10
28932;Administração;5,95;5;5,51;1;8;Cursando;0;0;0;10
28937;Educação Física;6,75;5,45;6,08;1;12;Cursando;0;0;0;6
28940;Administração;6,1;0,1;4,18;0;20;Cursando;0;1;0;10
28943;Administração;9,38;5;6,63;1;16;Aluno Formado;0;0;0;10
28944;Administração;8,93;5,79;7,39;1;6;Aluno Formado;0;0;0;10
28946;Administração;0,56;0;0,08;0;52;Cursando;0;1;0;6
28949;Administração;8,2;1;4,94;0;14;Cursando;0;0;0;9
28950;Administração;6,23;5;5,71;1;6;Cursando;0;0;0;8
28951;Administração;7,9;5,25;7,14;1;20;Aluno Formado;0;0;0;10
28952;Administração;9,25;6,66;8,19;1;8;Cursando;0;0;0;10
28958;Administração;6,23;1,68;5,2;1;4;Cursando;0;1;0;8
28959;Administração;7,8;5;6,14;1;12;Cursando;0;1;0;8
28961;Administração;9,38;5,82;7,43;1;10;Aluno Formado;0;0;0;10
28962;Administração;5,45;0,9;3,71;0;8;Cursando;0;1;0;8
28964;Administração;8,88;7,58;8,15;1;4;Aluno Formado;0;1;0;10
28973;Enfermagem;8,73;4,08;6,36;1;8;Cursando;0;0;0;10
28974;Enfermagem;9,6;6,15;7,97;1;4;Outros;0;0;0;10
28975;Enfermagem;9;0,9;4,01;0;22;Evadido;1;1;0;6
28976;Enfermagem;9,28;5;6,02;1;14;Cursando;0;1;0;10
28980;Enfermagem;9,3;6,6;7,82;1;2;Aluno Formado;0;0;0;10
28982;Enfermagem;8,93;5,38;7,09;1;8;Aluno Formado;0;0;0;10
28983;Enfermagem;9,68;5,25;7,91;1;4;Cursando;0;0;0;8
28984;Enfermagem;8,8;0,5;3,12;0;28;Cursando;0;0;0;8
28986;Enfermagem;9,68;1,28;6,2;1;54;Cursando;0;0;0;10
28989;Educação Física;7,63;5,82;6,66;1;18;Cursando;0;0;0;10
28991;Enfermagem;7,35;3,3;6,01;1;4;Cursando;0;0;0;10
28992;Enfermagem;9,43;5;6,53;1;6;Cursando;0;0;0;10
28993;Enfermagem;9,55;5;6,71;1;10;Aluno Formado;0;0;0;10
28996;Enfermagem;9,48;6,43;7,63;1;4;Aluno Formado;0;0;0;10
28997;Enfermagem;9,03;5,53;6,88;1;6;Aluno Formado;0;0;0;10
28999;Enfermagem;8,73;5;6,81;1;9;Aluno Formado;0;0;0;10
29001;Enfermagem;9,05;5,15;7,07;1;4;Cursando;0;1;0;10
29003;Enfermagem;9,28;6,53;7,66;1;4;Aluno Formado;0;0;0;10
29005;Enfermagem;9,1;5,6;6,97;1;6;Cursando;0;1;0;8
29006;Educação Física;8,63;5;6,71;1;18;Cursando;0;0;0;10
29014;Enfermagem;9,8;5,85;7,25;1;6;Cursando;0;1;0;8
29017;Enfermagem;7,8;5;6,42;1;6;Cursando;0;1;1;8
29019;Enfermagem;9,68;5,05;7,48;1;6;Cursando;0;0;0;8
29021;Enfermagem;9,48;4,58;6,03;1;8;Aluno Formado;0;0;0;10
29024;Enfermagem;7,15;5,25;6,13;1;8;Cursando;0;0;0;8
29027;Enfermagem;8,8;5;6,67;1;6;Aluno Formado;0;1;0;10
29028;Enfermagem;8,25;5,85;6,85;1;12;Aluno Formado;0;0;0;10
29030;Enfermagem;9,68;5;5,97;1;10;Aluno Formado;0;0;0;10
29031;Enfermagem;8,6;5;6,58;1;4;Outros;0;1;0;10
29033;Biologia;9,93;5;7,28;1;4;Aluno Formado;0;0;0;10
29035;Biologia;9,93;5;6,68;1;6;Aluno Formado;0;0;0;10
29036;Biologia;9,43;5,1;7,39;1;4;Cursando;0;0;0;6
29041;Biologia;7,88;0,63;2,36;0;16;Evadido;1;0;0;8
29047;Biologia;0;0;0;0;28;Cursando;0;1;0;8
29053;Matemática;1,57;0,13;0,7;0;28;Cursando;0;0;0;4
29054;Educação Física;8,65;5,42;7,06;1;4;Cursando;0;0;0;10
29056;Biologia;9,25;5,4;7,34;1;2;Cursando;0;0;0;8
29058;Biologia;8,95;5,1;6,84;1;4;Cursando;0;0;0;10
29061;Biologia;5,98;3,98;5,25;1;10;Cursando;0;0;0;8
29062;Biologia;8,28;1,28;4,37;0;6;Cursando;0;0;0;8
29064;Biologia;8,93;0,63;5,13;1;6;Cursando;0;0;0;10
29067;Enfermagem;7,12;3,2;5,26;1;0;Cursando;0;1;0;8
29070;Biologia;10;5;7,14;1;0;Cursando;0;0;0;10
29074;Biologia;9,22;5,9;7,1;1;6;Aluno Formado;0;1;0;10
29077;Biologia;10;6,8;8,33;1;2;Aluno Formado;0;1;0;10
29078;Biologia;8,03;0,83;4,3;0;26;Cursando;0;0;0;8
29079;Letras;9;3,4;6,92;1;4;Cursando;0;0;0;8
29080;Educação Física;6,95;0,65;4,15;0;10;Cursando;0;1;0;8
29084;Biologia;10;5;7,1;1;4;Aluno Formado;0;0;0;10
29085;Biologia;8,88;5;6,77;1;4;Cursando;0;0;0;8
29089;História;8,83;6,21;7,22;1;6;Cursando;0;1;0;2
29098;Enfermagem;7,98;5;5,8;1;6;Cursando;0;0;0;4
29099;Biologia;5,62;0,32;2,83;0;22;Cursando;0;0;0;8
29100;Biologia;9,93;5;7,88;1;2;Aluno Formado;0;0;0;10
29103;Administração;1,25;0,25;0,38;0;30;Cursando;0;1;0;8
29106;Educação Física;8,15;5,63;6,87;1;8;Cursando;0;1;0;10
29107;Educação Física;6,7;1,57;4,48;0;30;Cursando;0;1;1;8
29110;Educação Física;8,85;6,05;7,67;1;10;Cursando;0;1;1;10
29112;Educação Física;9,8;7,4;8,57;1;2;Aluno Formado;0;0;0;10
29115;Educação Física;8,55;5,5;7,2;1;8;Aluno Formado;0;0;0;10
29116;Educação Física;7,95;5,05;6,38;1;16;Cursando;0;0;0;10
29117;Educação Física;8,2;5;6,36;1;8;Cursando;0;0;0;8
29119;Educação Física;5,7;2,75;4,57;0;16;Cursando;0;0;1;8
29120;Educação Física;7,5;5,82;6,89;1;8;Cursando;0;0;0;10
29121;Educação Física;9,3;6,65;7,57;1;10;Cursando;0;0;0;8
29122;Educação Física;6,88;5;5,41;1;10;Cursando;0;1;0;8
29123;Matemática;6,95;0,7;4,08;0;16;Cursando;0;0;0;8
29124;Educação Física;5,85;3,54;4,9;0;26;Evadido;1;0;0;8
29125;Educação Física;8,93;6,23;7,59;1;10;Aluno Formado;0;0;0;10
29130;Educação Física;8,79;6,6;7,69;1;12;Aluno Formado;0;1;0;10
29134;Educação Física;8,79;5;7,23;1;10;Cursando;0;0;0;10
29135;Educação Física;8,54;5;7;1;12;Cursando;0;0;0;10
